,ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,300166.SZ,20230420,12.61,13.04,12.55,13.04,12.73,0.3099999999999987,2.4352,1008692.78,1296149.159,300166.SZ,235.5926,243.6263,234.4717,243.6263,237.8346,5.791699999999992,2.4352,1008692.78,1296149.159
1,300166.SZ,20230419,12.44,13.04,12.44,12.73,12.57,0.16000000000000014,1.2729,957348.65,1226705.598,300166.SZ,232.4165,243.6263,232.4165,237.8346,234.8453,2.989299999999986,1.2729,957348.65,1226705.598
2,300166.SZ,20230418,12.35,12.7,12.18,12.57,12.39,0.17999999999999972,1.4528,721817.32,902852.529,300166.SZ,230.7351,237.2741,227.5589,234.8453,231.4824,3.3628999999999962,1.4528,721817.32,902852.529
3,300166.SZ,20230417,12.66,12.69,12.2,12.39,12.68,-0.28999999999999915,-2.2871,681002.75,842299.452,300166.SZ,236.5268,237.0873,227.9326,231.4824,236.9004,-5.417999999999978,-2.287,681002.75,842299.452
4,300166.SZ,20230414,13.08,13.24,12.35,12.68,13.06,-0.3800000000000008,-2.9096,1089086.28,1382965.148,300166.SZ,244.3736,247.3629,230.7351,236.9004,244.0,-7.0996000000000095,-2.9097,1089086.28,1382965.148
5,300166.SZ,20230413,13.29,13.71,12.98,13.06,13.5,-0.4399999999999995,-3.2593,1088022.63,1448310.085,300166.SZ,248.2971,256.1439,242.5053,244.0,252.2205,-8.220499999999987,-3.2593,1088022.63,1448310.085
6,300166.SZ,20230412,13.2,13.57,13.07,13.5,13.22,0.27999999999999936,2.118,1001382.01,1340446.293,300166.SZ,246.6156,253.5283,244.1868,252.2205,246.9893,5.231200000000001,2.118,1001382.01,1340446.293
7,300166.SZ,20230411,13.03,13.45,13.01,13.22,13.13,0.08999999999999986,0.6855,981287.51,1297152.482,300166.SZ,243.4395,251.2863,243.0658,246.9893,245.3078,1.6814999999999998,0.6855,981287.51,1297152.482
8,300166.SZ,20230410,14.0,14.0,12.72,13.13,14.33,-1.1999999999999993,-8.374,1744207.22,2338173.437,300166.SZ,261.562,261.562,237.6478,245.3078,267.7274,-22.419600000000003,-8.374,1744207.22,2338173.437
9,300166.SZ,20230407,14.03,14.33,13.3,14.33,13.9,0.4299999999999997,3.0935,1701296.81,2357242.436,300166.SZ,262.1225,267.7274,248.4839,267.7274,259.6937,8.03370000000001,3.0935,1701296.81,2357242.436
10,300166.SZ,20230406,13.8,14.67,13.8,13.9,14.42,-0.5199999999999996,-3.6061,1976587.71,2810672.911,300166.SZ,257.8254,274.0796,257.8254,259.6937,269.4089,-9.715200000000038,-3.6061,1976587.71,2810672.911
11,300166.SZ,20230404,16.0,16.92,14.23,14.42,15.42,-1.0,-6.4851,2776900.33,4296890.364,300166.SZ,298.928,316.1164,265.8591,269.4089,288.0919,-18.682999999999993,-6.4851,2776900.33,4296890.364
12,300166.SZ,20230403,14.75,15.66,14.28,15.42,15.07,0.34999999999999964,2.3225,2583443.41,3897461.764,300166.SZ,275.5743,292.5758,266.7932,288.0919,281.5528,6.539100000000019,2.3225,2583443.41,3897461.764
13,300166.SZ,20230331,14.52,15.09,14.01,15.07,14.53,0.5400000000000009,3.7164,2255140.98,3290126.884,300166.SZ,271.2772,281.9265,261.7488,281.5528,271.464,10.088799999999992,3.7164,2255140.98,3290126.884
14,300166.SZ,20230330,13.52,15.13,13.16,14.53,13.67,0.8599999999999994,6.2911,2399599.98,3391859.221,300166.SZ,252.5942,282.6738,245.8683,271.464,255.3966,16.067399999999992,6.2912,2399599.98,3391859.221
15,300166.SZ,20230329,13.5,14.5,13.15,13.67,13.4,0.2699999999999996,2.0149,2060322.81,2858494.026,300166.SZ,252.2205,270.9035,245.6815,255.3966,250.3522,5.044399999999996,2.0149,2060322.81,2858494.026
16,300166.SZ,20230328,13.7,13.82,12.74,13.4,14.09,-0.6899999999999995,-4.8971,1880701.12,2527644.81,300166.SZ,255.9571,258.1991,238.0214,250.3522,263.2435,-12.891299999999973,-4.8971,1880701.12,2527644.81
17,300166.SZ,20230327,12.48,14.62,12.09,14.09,12.18,1.9100000000000001,15.6814,2813541.02,3691275.222,300166.SZ,233.1638,273.1455,225.8775,263.2435,227.5589,35.68459999999999,15.6815,2813541.02,3691275.222
18,300166.SZ,20230324,11.19,12.54,11.1,12.18,10.91,1.2699999999999996,11.6407,1939588.59,2272838.815,300166.SZ,209.0628,234.2848,207.3813,227.5589,203.8315,23.72739999999999,11.6407,1939588.59,2272838.815
19,300166.SZ,20230323,10.8,11.15,10.6,10.91,10.8,0.10999999999999943,1.0185,1171586.04,1274651.042,300166.SZ,201.7764,208.3154,198.0398,203.8315,201.7764,2.05510000000001,1.0185,1171586.04,1274651.042
20,300166.SZ,20230322,10.3,10.87,10.15,10.8,10.3,0.5,4.8544,1033441.1,1095041.04,300166.SZ,192.4349,203.0842,189.6325,201.7764,192.4349,9.341499999999996,4.8544,1033441.1,1095041.04
21,300166.SZ,20230321,9.91,10.37,9.76,10.3,9.93,0.370000000000001,3.7261,692700.84,704354.715,300166.SZ,185.1485,193.7427,182.3461,192.4349,185.5222,6.912700000000001,3.7261,692700.84,704354.715
22,300166.SZ,20230320,10.3,10.32,9.86,9.93,10.14,-0.21000000000000085,-2.071,616532.81,622115.798,300166.SZ,192.4349,192.8086,184.2144,185.5222,189.4456,-3.923400000000015,-2.071,616532.81,622115.798
23,300166.SZ,20230317,9.81,10.23,9.81,10.14,9.78,0.3600000000000012,3.681,647473.55,653843.599,300166.SZ,183.2802,191.1271,183.2802,189.4456,182.7197,6.725900000000024,3.681,647473.55,653843.599
24,300166.SZ,20230316,9.8,9.99,9.69,9.78,9.95,-0.16999999999999993,-1.7085,449839.33,441398.549,300166.SZ,183.0934,186.6432,181.0383,182.7197,185.8958,-3.1761000000000195,-1.7085,449839.33,441398.549
25,300166.SZ,20230315,10.27,10.33,9.9,9.95,10.14,-0.19000000000000128,-1.8738,482413.63,483613.761,300166.SZ,191.8744,192.9954,184.9617,185.8958,189.4456,-3.5498000000000047,-1.8738,482413.63,483613.761
26,300166.SZ,20230314,10.17,10.3,9.97,10.14,10.34,-0.1999999999999993,-1.9342,638233.65,648062.498,300166.SZ,190.0061,192.4349,186.2695,189.4456,193.1822,-3.7365999999999815,-1.9342,638233.65,648062.498
27,300166.SZ,20230313,9.93,10.39,9.7,10.34,10.06,0.27999999999999936,2.7833,957437.51,962541.226,300166.SZ,185.5222,194.1164,181.2251,193.1822,187.951,5.231200000000001,2.7833,957437.51,962541.226
28,300166.SZ,20230310,9.83,10.32,9.78,10.06,9.7,0.3600000000000012,3.7113,1144888.71,1158022.278,300166.SZ,183.6539,192.8086,182.7197,187.951,181.2251,6.725899999999996,3.7114,1144888.71,1158022.278
29,300166.SZ,20230309,9.68,9.77,9.44,9.7,9.68,0.019999999999999574,0.2066,406557.34,390408.517,300166.SZ,180.8514,182.5329,176.3675,181.2251,180.8514,0.37369999999998527,0.2066,406557.34,390408.517
30,300166.SZ,20230308,9.5,9.76,9.49,9.68,9.45,0.23000000000000043,2.4339,408859.85,393655.412,300166.SZ,177.4885,182.3461,177.3017,180.8514,176.5543,4.2971,2.4339,408859.85,393655.412
31,300166.SZ,20230307,9.88,9.95,9.44,9.45,9.88,-0.4300000000000015,-4.3522,528070.76,508224.671,300166.SZ,184.588,185.8958,176.3675,176.5543,184.588,-8.033699999999982,-4.3522,528070.76,508224.671
32,300166.SZ,20230306,10.0,10.06,9.8,9.88,9.99,-0.10999999999999943,-1.1011,448622.4,444948.344,300166.SZ,186.83,187.951,183.0934,184.588,186.6432,-2.0552000000000135,-1.1011,448622.4,444948.344
33,300166.SZ,20230303,10.1,10.23,9.78,9.99,10.18,-0.1899999999999995,-1.8664,609940.12,607550.04,300166.SZ,188.6983,191.1271,182.7197,186.6432,190.1929,-3.5497000000000014,-1.8664,609940.12,607550.04
34,300166.SZ,20230302,10.09,10.34,10.06,10.18,10.16,0.019999999999999574,0.1969,631999.06,644016.111,300166.SZ,188.5115,193.1822,187.951,190.1929,189.8193,0.37360000000001037,0.1968,631999.06,644016.111
35,300166.SZ,20230301,9.64,10.27,9.61,10.16,9.74,0.41999999999999993,4.3121,991052.86,994474.412,300166.SZ,180.1041,191.8744,179.5436,189.8193,181.9724,7.846900000000005,4.3121,991052.86,994474.412
